"marca";"nome";"preco_antigo_reais";"preco_antigo_centavos";"preco_novo_reais";"preco_novo_centavos";"nota";"qtde_avaliacoes";"_fonte";"_data_coleta";"preco_antigo";"preco_novo"
"OLYMPIKUS";"Olympikus Jogging 100 Masculino Adultos";209.0;90.0;165.0;90.0;4.5;83;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";209.9;165.9
"UNDER ARMOUR";"Under Armour Charged Slight 2 Masculino Adultos";449.0;99.0;291.0;99.0;4.8;416;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";449.99;291.99
"OLYMPIKUS";"Olympikus Cyber 3 Masculino Adultos";269.0;90.0;177.0;90.0;4.7;36;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";269.9;177.9
"MIZUNO";"Tênis Masculino Mizuno Wave Creation Original Macio Corrida";199.0;90.0;129.0;90.0;3.9;68;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";199.9;129.9
"OLYMPIKUS";"Olympikus Aquarios Masculino Adultos";237.0;49.0;184.0;49.0;4.8;1007;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";237.49;184.49
"OLDSEN";"Tênis Masculino Jaguar Oldsen Treino Corrida Promoção Top";78.0;97.0;75.0;97.0;4.4;2883;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";78.97;75.97
"";"Tenis Esporte Academia Corrida Caminhada Confortável Leve";0.0;0.0;69.0;0.0;4.5;427;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";0.0;69.0
"";"Tênis Masculino Esportivo Caminhada Academia Corrida";89.0;90.0;78.0;90.0;4.5;500;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";89.9;78.9
"REEBOK";"Tenis Reebok Zig Kinetica 2.5 Adventure Masculino 100074670";0.0;0.0;1.099;0.0;0.0;0;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";0.0;1099.0
"";"Tênis Meia Masculino E Feminino Unicc Lançamento";0.0;0.0;79.0;0.0;4.7;59;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";0.0;79.0
"ASICS";"Tênis Asics Masculino Feminino Varias Cores Do 34 Ao 43";105.0;99.0;98.0;99.0;4.1;697;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";105.99;98.99
"";"Tênis Cross Tryd 5400 Academia Caminhada Confortável Leve";99.0;99.0;69.0;99.0;4.5;1590;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";99.99;69.99
